"OrderNumber";"OrderDate";"CustomerTable_CustomerID";"OrderType";"Address_AddressID"
80;"2017-01-05 00:00:00";70;"Sales";76
81;"2017-09-10 00:00:00";79;"Sales";11
82;"2017-04-26 00:00:00";48;"Sales";15
83;"2017-08-09 00:00:00";27;"Sales";22
84;"2017-07-06 00:00:00";73;"Sales";57
85;"2017-06-24 00:00:00";80;"Sales";78
86;"2017-03-14 00:00:00";48;"Sales";8
87;"2017-10-03 00:00:00";66;"Sales";74
88;"2017-01-04 00:00:00";60;"Sales";56
89;"2017-06-13 00:00:00";72;"Sales";71
90;"2017-11-26 00:00:00";30;"Sales";15
91;"2017-09-24 00:00:00";44;"Sales";86
92;"2017-07-05 00:00:00";40;"Sales";79
93;"2017-03-20 00:00:00";91;"Sales";14
94;"2017-11-16 00:00:00";2;"Sales";11
95;"2017-08-06 00:00:00";45;"Sales";82
96;"2017-03-21 00:00:00";2;"Sales";7
97;"2017-02-19 00:00:00";42;"Sales";8
98;"2017-07-13 00:00:00";82;"Sales";60
99;"2017-09-08 00:00:00";89;"Sales";21
100;"2017-04-23 00:00:00";53;"Sales";75
101;"2017-10-10 00:00:00";38;"Sales";44
102;"2017-12-02 00:00:00";78;"Sales";52
103;"2017-10-24 00:00:00";39;"Sales";7
104;"2017-04-13 00:00:00";91;"Sales";44
105;"2017-05-07 00:00:00";36;"Sales";69
106;"2017-04-04 00:00:00";78;"Sales";96
107;"2017-09-10 00:00:00";76;"Sales";2
108;"2017-02-25 00:00:00";24;"Sales";93
109;"2017-07-19 00:00:00";89;"Sales";25
110;"2017-01-15 00:00:00";27;"Sales";21
111;"2017-06-24 00:00:00";94;"Sales";46
112;"2017-06-12 00:00:00";57;"Sales";60
113;"2017-04-19 00:00:00";14;"Sales";83
114;"2017-01-11 00:00:00";73;"Sales";99
115;"2017-01-13 00:00:00";33;"Sales";96
116;"2017-09-16 00:00:00";20;"Sales";68
117;"2017-02-10 00:00:00";13;"Sales";47
118;"2017-06-10 00:00:00";42;"Sales";47
119;"2017-05-16 00:00:00";68;"Sales";72
120;"2017-06-03 00:00:00";89;"Sales";52
121;"2017-10-09 00:00:00";49;"Sales";20
122;"2017-11-16 00:00:00";25;"Sales";27
123;"2017-09-13 00:00:00";40;"Sales";45
124;"2017-07-04 00:00:00";76;"Sales";93
125;"2017-11-18 00:00:00";51;"Sales";16
126;"2017-06-24 00:00:00";38;"Sales";30
127;"2017-06-24 00:00:00";18;"Sales";61
128;"2017-08-21 00:00:00";17;"Sales";54
129;"2017-01-22 00:00:00";35;"Sales";18
130;"2017-02-17 00:00:00";27;"Sales";97
131;"2017-02-26 00:00:00";40;"Sales";26
132;"2017-01-20 00:00:00";83;"Sales";81
133;"2017-08-03 00:00:00";24;"Sales";21
134;"2017-10-17 00:00:00";64;"Sales";45
135;"2017-03-24 00:00:00";62;"Sales";53
136;"2017-06-10 00:00:00";69;"Sales";13
137;"2017-10-14 00:00:00";76;"Sales";7
138;"2017-12-07 00:00:00";74;"Sales";69
139;"2017-04-06 00:00:00";2;"Sales";26
140;"2017-04-15 00:00:00";83;"Sales";24
141;"2017-12-08 00:00:00";99;"Sales";77
142;"2017-04-22 00:00:00";69;"Sales";14
143;"2017-04-20 00:00:00";49;"Sales";63
144;"2017-05-09 00:00:00";87;"Sales";12
145;"2017-07-26 00:00:00";87;"Sales";25
146;"2017-06-15 00:00:00";67;"Sales";77
147;"2017-04-25 00:00:00";42;"Sales";86
148;"2017-12-13 00:00:00";83;"Sales";29
149;"2017-12-17 00:00:00";38;"Sales";2
150;"2017-01-04 00:00:00";61;"Sales";78
151;"2017-09-14 00:00:00";3;"Sales";23
152;"2017-03-17 00:00:00";51;"Sales";81
153;"2017-11-18 00:00:00";34;"Sales";61
154;"2017-09-22 00:00:00";71;"Sales";84
155;"2017-01-20 00:00:00";35;"Sales";59
156;"2017-10-23 00:00:00";59;"Sales";50
157;"2017-06-23 00:00:00";1;"Sales";62
158;"2017-02-24 00:00:00";37;"Sales";7
159;"2017-12-11 00:00:00";10;"Sales";2
160;"2017-08-14 00:00:00";62;"Sales";68
161;"2017-02-02 00:00:00";53;"Sales";95
162;"2017-06-26 00:00:00";38;"Sales";54
163;"2017-02-19 00:00:00";29;"Sales";41
164;"2017-07-04 00:00:00";5;"Sales";51
165;"2017-04-24 00:00:00";74;"Sales";93
166;"2017-04-16 00:00:00";61;"Sales";67
167;"2017-06-06 00:00:00";40;"Sales";4
168;"2017-05-09 00:00:00";99;"Sales";96
169;"2017-09-20 00:00:00";51;"Sales";39
170;"2017-03-16 00:00:00";98;"Sales";18
171;"2017-01-06 00:00:00";91;"Sales";95
172;"2017-08-21 00:00:00";6;"Sales";65
173;"2017-11-15 00:00:00";14;"Sales";25
174;"2017-06-26 00:00:00";22;"Sales";29
175;"2017-06-20 00:00:00";47;"Sales";71
176;"2017-05-05 00:00:00";63;"Sales";18
177;"2017-02-13 00:00:00";8;"Sales";83
178;"2017-09-13 00:00:00";53;"Sales";36
179;"2017-05-10 00:00:00";78;"Sales";30
180;"2017-09-02 00:00:00";79;"Sales";59
181;"2017-09-24 00:00:00";55;"Sales";19
182;"2017-03-18 00:00:00";90;"Sales";21
183;"2017-12-10 00:00:00";94;"Sales";90
184;"2017-03-20 00:00:00";54;"Sales";19
185;"2017-08-24 00:00:00";73;"Sales";92
186;"2017-04-20 00:00:00";25;"Sales";10
187;"2017-07-09 00:00:00";53;"Sales";2
188;"2017-08-20 00:00:00";14;"Sales";64
189;"2017-06-24 00:00:00";50;"Sales";35
190;"2017-04-06 00:00:00";55;"Sales";30
191;"2017-10-14 00:00:00";44;"Sales";75
192;"2017-04-24 00:00:00";84;"Sales";51
193;"2017-10-06 00:00:00";44;"Sales";26
194;"2017-08-19 00:00:00";34;"Sales";40
195;"2017-06-12 00:00:00";76;"Sales";71
196;"2017-05-20 00:00:00";80;"Sales";69
197;"2017-01-04 00:00:00";29;"Sales";10
198;"2017-10-10 00:00:00";71;"Sales";45
199;"2017-09-03 00:00:00";77;"Sales";92
200;"2017-05-04 00:00:00";81;"Sales";86
201;"2017-06-13 00:00:00";74;"Sales";12
202;"2017-03-05 00:00:00";91;"Sales";81
203;"2017-03-03 00:00:00";11;"Sales";44
204;"2017-05-08 00:00:00";86;"Sales";41
205;"2017-07-15 00:00:00";2;"Sales";42
206;"2017-10-18 00:00:00";79;"Sales";57
207;"2017-12-12 00:00:00";18;"Sales";23
208;"2017-12-09 00:00:00";95;"Sales";72
209;"2017-04-03 00:00:00";77;"Sales";10
210;"2017-11-21 00:00:00";72;"Sales";37
211;"2017-12-17 00:00:00";63;"Sales";9
212;"2017-05-16 00:00:00";7;"Sales";85
213;"2017-08-09 00:00:00";53;"Sales";7
214;"2017-04-13 00:00:00";17;"Sales";81
215;"2017-03-12 00:00:00";24;"Sales";98
216;"2017-03-09 00:00:00";90;"Sales";71
217;"2017-07-07 00:00:00";6;"Sales";41
218;"2017-08-18 00:00:00";33;"Sales";36
219;"2017-11-21 00:00:00";11;"Sales";41
220;"2017-07-09 00:00:00";83;"Sales";26
221;"2017-06-20 00:00:00";62;"Sales";96
222;"2017-10-15 00:00:00";29;"Sales";74
223;"2017-12-24 00:00:00";6;"Sales";8
224;"2017-06-05 00:00:00";79;"Sales";48
225;"2017-01-07 00:00:00";83;"Sales";26
226;"2017-05-14 00:00:00";30;"Sales";22
227;"2017-03-15 00:00:00";60;"Sales";43
228;"2017-08-16 00:00:00";55;"Sales";76
229;"2017-02-11 00:00:00";15;"Sales";5
230;"2017-09-14 00:00:00";24;"Sales";77
231;"2017-02-16 00:00:00";50;"Sales";85
232;"2017-06-25 00:00:00";72;"Sales";15
233;"2017-11-11 00:00:00";9;"Sales";51
234;"2017-10-22 00:00:00";96;"Sales";80
235;"2017-05-25 00:00:00";57;"Sales";42
236;"2017-04-06 00:00:00";50;"Sales";96
237;"2017-11-07 00:00:00";36;"Sales";8
238;"2017-11-06 00:00:00";71;"Sales";46
239;"2017-03-16 00:00:00";69;"Sales";3
240;"2017-06-13 00:00:00";67;"Sales";48
241;"2017-03-25 00:00:00";85;"Sales";53
242;"2017-04-12 00:00:00";88;"Sales";38
243;"2017-04-14 00:00:00";63;"Sales";5
244;"2017-04-16 00:00:00";50;"Sales";13
245;"2017-11-17 00:00:00";82;"Sales";33
246;"2017-02-04 00:00:00";25;"Sales";99
247;"2017-06-23 00:00:00";69;"Sales";74
248;"2017-02-15 00:00:00";42;"Sales";23
249;"2017-05-18 00:00:00";34;"Sales";15
250;"2017-03-02 00:00:00";34;"Sales";49
251;"2017-07-06 00:00:00";54;"Sales";72
252;"2017-12-04 00:00:00";70;"Sales";87
253;"2017-02-14 00:00:00";39;"Sales";55
254;"2017-04-13 00:00:00";74;"Sales";70
255;"2017-02-22 00:00:00";67;"Sales";97
256;"2017-09-06 00:00:00";34;"Sales";42
257;"2017-01-26 00:00:00";80;"Sales";95
258;"2017-02-24 00:00:00";55;"Sales";76
259;"2017-05-14 00:00:00";89;"Sales";88
260;"2017-09-03 00:00:00";1;"Sales";25
261;"2017-06-02 00:00:00";15;"Sales";82
262;"2017-11-07 00:00:00";100;"Sales";60
263;"2017-10-24 00:00:00";29;"Sales";10
264;"2017-08-19 00:00:00";63;"Sales";71
265;"2017-05-11 00:00:00";57;"Sales";42
266;"2017-11-10 00:00:00";33;"Sales";26
267;"2017-07-08 00:00:00";13;"Sales";28
268;"2017-06-07 00:00:00";51;"Sales";35
269;"2017-04-03 00:00:00";8;"Sales";67
270;"2017-03-23 00:00:00";69;"Sales";15
271;"2017-09-09 00:00:00";14;"Sales";56
272;"2017-09-13 00:00:00";1;"Sales";57
273;"2017-02-24 00:00:00";19;"Sales";44
274;"2017-05-18 00:00:00";1;"Sales";1
275;"2017-08-11 00:00:00";27;"Sales";7
276;"2017-03-09 00:00:00";24;"Sales";70
277;"2017-04-04 00:00:00";70;"Sales";25
278;"2017-10-19 00:00:00";83;"Sales";43
279;"2017-05-04 00:00:00";37;"Sales";23
280;"2017-07-02 00:00:00";66;"Sales";94
281;"2017-05-23 00:00:00";22;"Sales";39
282;"2017-06-26 00:00:00";17;"Sales";98
283;"2017-04-16 00:00:00";46;"Sales";72
284;"2017-02-21 00:00:00";94;"Sales";18
285;"2017-10-02 00:00:00";19;"Sales";31
286;"2017-08-17 00:00:00";80;"Sales";100
287;"2017-07-24 00:00:00";11;"Sales";60
288;"2017-02-15 00:00:00";8;"Sales";68
289;"2017-05-16 00:00:00";90;"Sales";97
290;"2017-09-12 00:00:00";78;"Sales";37
291;"2017-11-26 00:00:00";40;"Sales";31
292;"2017-08-02 00:00:00";40;"Sales";53
293;"2017-09-19 00:00:00";70;"Sales";8
294;"2017-02-14 00:00:00";23;"Sales";35
295;"2017-06-21 00:00:00";28;"Sales";90
296;"2017-02-15 00:00:00";69;"Sales";75
297;"2017-10-19 00:00:00";14;"Sales";21
298;"2017-11-06 00:00:00";8;"Sales";88
299;"2017-03-07 00:00:00";24;"Sales";93
300;"2017-12-17 00:00:00";16;"Sales";44
301;"2017-05-18 00:00:00";68;"Sales";100
302;"2017-04-15 00:00:00";67;"Sales";29
303;"2017-03-23 00:00:00";13;"Sales";21
304;"2017-11-22 00:00:00";56;"Sales";60
305;"2017-03-08 00:00:00";19;"Sales";51
306;"2017-10-26 00:00:00";46;"Sales";31
307;"2017-10-10 00:00:00";35;"Sales";14
308;"2017-04-03 00:00:00";46;"Sales";97
309;"2017-05-08 00:00:00";41;"Sales";58
310;"2017-09-17 00:00:00";39;"Sales";6
311;"2017-02-03 00:00:00";92;"Sales";88
312;"2017-10-06 00:00:00";74;"Sales";92
313;"2017-11-20 00:00:00";30;"Sales";68
314;"2017-07-03 00:00:00";57;"Sales";41
315;"2017-07-06 00:00:00";92;"Sales";6
316;"2017-07-03 00:00:00";12;"Sales";6
317;"2017-10-09 00:00:00";88;"Sales";56
318;"2017-05-09 00:00:00";81;"Sales";14
319;"2017-08-06 00:00:00";83;"Sales";32
320;"2017-09-20 00:00:00";8;"Sales";87
321;"2017-02-09 00:00:00";99;"Sales";55
322;"2017-12-23 00:00:00";40;"Sales";35
323;"2017-05-03 00:00:00";34;"Sales";45
324;"2017-07-15 00:00:00";52;"Sales";4
325;"2017-09-18 00:00:00";71;"Sales";37
326;"2017-05-11 00:00:00";92;"Sales";9
327;"2017-10-02 00:00:00";26;"Sales";64
328;"2017-09-06 00:00:00";76;"Sales";57
329;"2017-02-21 00:00:00";87;"Sales";34
330;"2017-01-25 00:00:00";82;"Sales";100
331;"2017-06-05 00:00:00";25;"Sales";18
332;"2017-02-05 00:00:00";27;"Sales";99
333;"2017-11-14 00:00:00";59;"Sales";51
334;"2017-10-05 00:00:00";59;"Sales";22
335;"2017-12-25 00:00:00";36;"Sales";26
336;"2017-12-06 00:00:00";88;"Sales";22
337;"2017-08-09 00:00:00";71;"Sales";59
338;"2017-01-17 00:00:00";43;"Sales";86
339;"2017-05-09 00:00:00";61;"Sales";34
340;"2017-10-21 00:00:00";55;"Sales";74
341;"2017-10-17 00:00:00";34;"Sales";62
342;"2017-06-16 00:00:00";69;"Sales";88
343;"2017-08-03 00:00:00";61;"Sales";51
344;"2017-08-13 00:00:00";1;"Sales";14
345;"2017-01-23 00:00:00";60;"Sales";10
346;"2017-06-24 00:00:00";33;"Sales";44
347;"2017-08-21 00:00:00";12;"Sales";49
348;"2017-07-14 00:00:00";24;"Sales";66
349;"2017-08-22 00:00:00";52;"Sales";70
350;"2017-07-16 00:00:00";8;"Sales";10
351;"2017-08-22 00:00:00";95;"Sales";20
352;"2017-04-08 00:00:00";87;"Sales";82
353;"2017-11-17 00:00:00";69;"Sales";8
354;"2017-06-25 00:00:00";89;"Sales";96
355;"2017-02-23 00:00:00";34;"Sales";45
356;"2017-10-09 00:00:00";100;"Sales";64
357;"2017-04-02 00:00:00";16;"Sales";67
358;"2017-03-21 00:00:00";94;"Sales";57
359;"2017-03-08 00:00:00";82;"Sales";68
360;"2017-07-23 00:00:00";41;"Sales";59
361;"2017-01-05 00:00:00";43;"Sales";38
362;"2017-04-04 00:00:00";31;"Sales";88
363;"2017-06-26 00:00:00";78;"Sales";97
364;"2017-01-22 00:00:00";73;"Sales";20
365;"2017-01-14 00:00:00";97;"Sales";46
366;"2017-04-18 00:00:00";11;"Sales";67
367;"2017-09-08 00:00:00";39;"Sales";57
368;"2017-01-22 00:00:00";8;"Sales";93
369;"2017-08-21 00:00:00";81;"Sales";6
370;"2017-05-19 00:00:00";93;"Sales";37
371;"2017-06-24 00:00:00";65;"Sales";54
372;"2017-03-09 00:00:00";83;"Sales";46
373;"2017-04-06 00:00:00";53;"Sales";6
374;"2017-08-20 00:00:00";97;"Sales";99
375;"2017-12-08 00:00:00";78;"Sales";76
376;"2017-07-17 00:00:00";76;"Sales";99
377;"2017-01-23 00:00:00";53;"Sales";91
378;"2017-05-19 00:00:00";61;"Sales";33
379;"2017-11-07 00:00:00";44;"Sales";24
380;"2017-02-15 00:00:00";71;"Sales";36
381;"2017-12-05 00:00:00";49;"Sales";77
382;"2017-12-11 00:00:00";49;"Sales";32
383;"2017-02-14 00:00:00";66;"Sales";96
384;"2017-10-14 00:00:00";12;"Sales";34
385;"2017-01-17 00:00:00";24;"Sales";37
386;"2017-02-12 00:00:00";67;"Sales";52
387;"2017-11-24 00:00:00";20;"Sales";12
388;"2017-01-21 00:00:00";44;"Sales";60
389;"2017-03-15 00:00:00";64;"Sales";51
390;"2017-06-13 00:00:00";80;"Sales";36
391;"2017-11-17 00:00:00";92;"Sales";20
392;"2017-03-22 00:00:00";23;"Sales";13
393;"2017-09-22 00:00:00";98;"Sales";13
394;"2017-11-11 00:00:00";98;"Sales";33
395;"2017-07-03 00:00:00";9;"Sales";33
396;"2017-08-20 00:00:00";42;"Sales";20
397;"2017-07-05 00:00:00";98;"Sales";47
398;"2017-09-08 00:00:00";13;"Sales";19
399;"2017-07-18 00:00:00";68;"Sales";39
400;"2017-02-10 00:00:00";22;"Sales";38
401;"2017-01-04 00:00:00";99;"Sales";15
402;"2017-01-20 00:00:00";85;"Sales";38
403;"2017-12-14 00:00:00";94;"Sales";7
404;"2017-09-25 00:00:00";71;"Sales";15
405;"2017-08-24 00:00:00";30;"Sales";80
406;"2017-07-16 00:00:00";39;"Sales";43
407;"2017-08-25 00:00:00";18;"Sales";38
408;"2017-08-18 00:00:00";48;"Sales";98
409;"2017-05-07 00:00:00";93;"Sales";71
410;"2017-05-09 00:00:00";85;"Sales";98
411;"2017-03-06 00:00:00";22;"Sales";39
412;"2017-01-19 00:00:00";87;"Sales";23
413;"2017-01-11 00:00:00";66;"Sales";87
414;"2017-06-03 00:00:00";72;"Sales";60
415;"2017-04-25 00:00:00";52;"Sales";55
416;"2017-03-23 00:00:00";44;"Sales";28
417;"2017-03-24 00:00:00";26;"Sales";82
418;"2017-12-24 00:00:00";9;"Sales";33
419;"2017-11-21 00:00:00";95;"Sales";23
420;"2017-11-06 00:00:00";94;"Sales";13
421;"2017-09-12 00:00:00";32;"Sales";21
422;"2017-09-05 00:00:00";15;"Sales";11
423;"2017-01-17 00:00:00";52;"Sales";29
424;"2017-06-15 00:00:00";1;"Sales";82
425;"2017-07-15 00:00:00";70;"Sales";32
426;"2017-12-19 00:00:00";41;"Sales";84
427;"2017-10-03 00:00:00";83;"Sales";47
428;"2017-08-04 00:00:00";42;"Sales";25
429;"2017-02-15 00:00:00";53;"Sales";55
430;"2017-10-06 00:00:00";50;"Sales";26
431;"2017-12-08 00:00:00";61;"Sales";29
432;"2017-11-23 00:00:00";56;"Sales";5
433;"2017-04-07 00:00:00";7;"Sales";83
434;"2017-06-11 00:00:00";92;"Sales";37
435;"2017-06-18 00:00:00";9;"Sales";49
436;"2017-07-21 00:00:00";67;"Sales";61
437;"2017-01-25 00:00:00";39;"Sales";10
438;"2017-11-17 00:00:00";23;"Sales";57
439;"2017-03-22 00:00:00";7;"Sales";51
440;"2017-10-09 00:00:00";15;"Sales";67
441;"2017-02-03 00:00:00";27;"Sales";33
442;"2017-01-09 00:00:00";41;"Sales";2
443;"2017-04-14 00:00:00";40;"Sales";18
444;"2017-06-05 00:00:00";7;"Sales";89
445;"2017-02-02 00:00:00";31;"Sales";26
446;"2017-11-26 00:00:00";47;"Sales";37
447;"2017-12-12 00:00:00";53;"Sales";54
448;"2017-07-22 00:00:00";88;"Sales";62
449;"2017-06-18 00:00:00";54;"Sales";27
450;"2017-01-07 00:00:00";19;"Sales";4
451;"2017-02-14 00:00:00";64;"Sales";94
452;"2017-02-19 00:00:00";64;"Sales";79
453;"2017-11-08 00:00:00";95;"Sales";85
454;"2017-01-07 00:00:00";90;"Sales";41
455;"2017-08-05 00:00:00";33;"Sales";80
456;"2017-05-16 00:00:00";84;"Sales";4
457;"2017-11-05 00:00:00";2;"Sales";26
458;"2017-08-24 00:00:00";84;"Sales";99
459;"2017-01-12 00:00:00";52;"Sales";96
460;"2017-07-10 00:00:00";26;"Sales";55
461;"2017-05-25 00:00:00";5;"Sales";66
462;"2017-10-03 00:00:00";47;"Sales";17
463;"2017-10-08 00:00:00";98;"Sales";32
464;"2017-02-04 00:00:00";72;"Sales";97
465;"2017-11-21 00:00:00";58;"Sales";57
466;"2017-05-12 00:00:00";65;"Sales";59
467;"2017-03-24 00:00:00";47;"Sales";80
468;"2017-07-20 00:00:00";16;"Sales";84
469;"2017-07-03 00:00:00";68;"Sales";63
470;"2017-08-13 00:00:00";99;"Sales";95
471;"2017-12-11 00:00:00";51;"Sales";34
472;"2017-01-18 00:00:00";3;"Sales";46
473;"2017-08-23 00:00:00";2;"Sales";72
474;"2017-06-19 00:00:00";9;"Sales";5
475;"2017-03-08 00:00:00";90;"Sales";58
476;"2017-12-06 00:00:00";5;"Sales";82
477;"2017-10-03 00:00:00";4;"Sales";27
478;"2017-11-15 00:00:00";78;"Sales";48
479;"2017-07-21 00:00:00";35;"Sales";19
480;"2017-01-07 00:00:00";18;"Sales";3
481;"2017-03-14 00:00:00";53;"Sales";55
482;"2017-11-10 00:00:00";14;"Sales";51
483;"2017-08-18 00:00:00";37;"Sales";86
484;"2017-07-04 00:00:00";90;"Sales";48
485;"2017-02-19 00:00:00";35;"Sales";56
486;"2017-09-21 00:00:00";39;"Sales";34
487;"2017-11-08 00:00:00";26;"Sales";84
488;"2017-07-04 00:00:00";27;"Sales";10
489;"2017-07-24 00:00:00";28;"Sales";55
490;"2017-10-14 00:00:00";6;"Sales";82
491;"2017-04-15 00:00:00";94;"Sales";44
492;"2017-03-18 00:00:00";61;"Sales";80
493;"2017-11-02 00:00:00";69;"Sales";56
494;"2017-04-07 00:00:00";44;"Sales";75
495;"2017-02-04 00:00:00";82;"Sales";65
496;"2017-08-21 00:00:00";64;"Sales";14
497;"2017-04-14 00:00:00";61;"Sales";68
498;"2017-12-13 00:00:00";34;"Sales";95
499;"2017-02-09 00:00:00";28;"Sales";21
500;"2017-04-04 00:00:00";43;"Sales";81
501;"2017-05-13 00:00:00";95;"Sales";79
502;"2017-06-25 00:00:00";19;"Sales";92
503;"2017-12-19 00:00:00";77;"Sales";87
504;"2017-05-23 00:00:00";33;"Sales";25
505;"2017-11-15 00:00:00";94;"Sales";39
506;"2017-03-06 00:00:00";69;"Sales";31
507;"2017-10-20 00:00:00";85;"Sales";74
508;"2017-06-02 00:00:00";85;"Sales";20
509;"2017-08-08 00:00:00";23;"Sales";29
510;"2017-04-06 00:00:00";25;"Sales";12
511;"2017-10-11 00:00:00";95;"Sales";73
512;"2017-08-15 00:00:00";95;"Sales";21
513;"2017-08-26 00:00:00";20;"Sales";95
514;"2017-06-24 00:00:00";19;"Sales";24
515;"2017-01-19 00:00:00";18;"Sales";50
516;"2017-09-25 00:00:00";15;"Sales";57
517;"2017-11-16 00:00:00";61;"Sales";23
518;"2017-01-17 00:00:00";36;"Sales";1
519;"2017-03-20 00:00:00";11;"Sales";92
520;"2017-07-26 00:00:00";32;"Sales";25
521;"2017-01-11 00:00:00";19;"Sales";58
522;"2017-04-26 00:00:00";60;"Sales";68
523;"2017-03-12 00:00:00";97;"Sales";52
524;"2017-07-17 00:00:00";84;"Sales";23
525;"2017-05-23 00:00:00";68;"Sales";8
526;"2017-07-26 00:00:00";40;"Sales";64
527;"2017-12-26 00:00:00";74;"Sales";99
528;"2017-05-10 00:00:00";39;"Sales";43
529;"2017-04-07 00:00:00";32;"Sales";44
530;"2017-06-20 00:00:00";90;"Sales";72
531;"2017-07-13 00:00:00";30;"Sales";48
532;"2017-05-13 00:00:00";90;"Sales";97
533;"2017-05-04 00:00:00";98;"Sales";99
534;"2017-03-24 00:00:00";92;"Sales";44
535;"2017-01-26 00:00:00";72;"Sales";64
536;"2017-04-21 00:00:00";3;"Sales";9
537;"2017-07-19 00:00:00";27;"Sales";27
538;"2017-10-26 00:00:00";36;"Sales";32
539;"2017-03-26 00:00:00";37;"Sales";12
540;"2017-06-22 00:00:00";20;"Sales";44
541;"2017-06-13 00:00:00";62;"Sales";80
542;"2017-10-13 00:00:00";26;"Sales";80
543;"2017-12-06 00:00:00";30;"Sales";38
544;"2017-02-12 00:00:00";17;"Sales";15
545;"2017-07-15 00:00:00";70;"Sales";52
546;"2017-08-12 00:00:00";97;"Sales";9
547;"2017-05-09 00:00:00";14;"Sales";73
548;"2017-06-14 00:00:00";8;"Sales";85
549;"2017-08-13 00:00:00";54;"Sales";79
550;"2017-06-25 00:00:00";55;"Sales";81
551;"2017-05-06 00:00:00";85;"Sales";32
552;"2017-04-10 00:00:00";9;"Sales";70
553;"2017-07-13 00:00:00";54;"Sales";76
554;"2017-10-06 00:00:00";13;"Sales";98
555;"2017-03-03 00:00:00";52;"Sales";90
556;"2017-10-19 00:00:00";2;"Sales";26
